user_id,activity_date,login_hour,file_access_count,email_sent_count,device_used,session_duration_minutes,failed_login_attempts,anomaly_label,is_anomaly,is_weekend,off_hours_activity,login_hour_deviation,daily_activity_volume,files_per_email_ratio,user_avg_file_access,user_avg_email_sent,user_avg_login_hour,user_activity_days,file_access_user_delta,email_sent_user_delta,login_hour_user_delta,anomaly_score,predicted_anomaly,risk_level
U0094,2025-02-05,21,67,,unknown,428.0,5,1,1,0,1,4,67.0,67.0,33.375,17.857142857142858,11.25,8,33.625,-17.857142857142858,9.75,0.13227860226919186,1,High
U0228,2025-03-29,21,64,65.0,unknown,387.0,3,1,1,1,1,4,129.0,0.9696969696969697,32.76923076923077,23.153846153846153,11.307692307692308,13,31.230769230769234,41.84615384615385,9.692307692307692,0.12893276074150783,1,High
U0179,2025-02-17,19,91,65.0,vpn,277.0,6,1,1,0,1,2,156.0,1.378787878787879,49.666666666666664,35.0,16.0,3,41.333333333333336,30.0,3.0,0.1203955823657159,1,High
U0062,2025-01-30,21,81,54.0,vpn,265.0,5,1,1,0,1,4,135.0,1.4727272727272727,38.0,22.583333333333332,11.416666666666666,12,43.0,31.416666666666668,9.583333333333334,0.11461263554902912,1,High
U0264,2025-01-17,19,81,53.0,unknown,553.0,4,1,1,0,1,2,134.0,1.5,52.333333333333336,35.0,11.666666666666666,3,28.666666666666664,18.0,7.333333333333334,0.11135092524487089,1,High
U0224,2025-03-28,21,82,67.0,unknown,,1,1,1,0,1,4,149.0,1.2058823529411764,34.5,29.0,12.75,4,47.5,38.0,8.25,0.10891354891710903,1,High
U0035,2025-02-04,19,73,64.0,vpn,495.0,6,1,1,0,1,2,137.0,1.123076923076923,47.0,30.333333333333332,14.0,6,26.0,33.66666666666667,5.0,0.10841918076417778,1,High
U0093,2025-02-16,21,75,,vpn,306.0,3,1,1,1,1,4,75.0,75.0,33.375,23.428571428571427,13.125,8,41.625,-23.428571428571427,7.875,0.10782423355904602,1,High
U0140,2025-02-22,19,89,43.0,vpn,432.0,6,1,1,1,1,2,132.0,2.022727272727273,35.57142857142857,22.714285714285715,11.714285714285714,7,53.42857142857143,20.285714285714285,7.2857142857142865,0.10765146052955987,1,High
U0101,2025-02-22,7,82,,desktop,601.0,6,1,1,1,1,2,82.0,82.0,37.9,19.88888888888889,9.0,10,44.1,-19.88888888888889,2.0,0.10633126970699125,1,High
U0080,2025-03-09,5,61,61.0,vpn,340.0,6,1,1,1,1,4,122.0,0.9838709677419355,37.333333333333336,30.166666666666668,12.166666666666666,6,23.666666666666664,30.833333333333332,7.166666666666666,0.10492752507615133,1,High
U0108,2025-01-06,19,65,54.0,unknown,459.0,6,1,1,0,1,2,119.0,1.1818181818181819,39.5,22.833333333333332,11.166666666666666,6,25.5,31.166666666666668,7.833333333333334,0.10368911315778584,1,High
U0010,2025-01-04,20,64,61.0,vpn,307.0,1,1,1,1,1,3,125.0,1.032258064516129,58.75,41.5,18.0,4,5.25,19.5,2.0,0.10362717605825977,1,High
U0153,2025-01-30,9,79,68.0,vpn,541.0,3,1,1,0,0,0,147.0,1.144927536231884,43.57142857142857,29.714285714285715,14.714285714285714,6,35.42857142857143,38.285714285714285,5.7142857142857135,0.10145118213995741,1,High
U0197,2025-02-23,6,89,60.0,laptop,413.0,6,1,1,1,1,3,149.0,1.459016393442623,41.333333333333336,30.333333333333332,7.666666666666667,3,47.666666666666664,29.666666666666668,1.666666666666667,0.10125178709100657,1,High
U0148,2025-03-14,19,73,,vpn,555.0,3,1,1,0,1,2,73.0,73.0,43.2,26.75,12.4,5,29.799999999999997,-26.75,6.6,0.10050652419971529,1,High
U0226,2025-02-16,19,83,27.0,unknown,385.0,5,1,1,1,1,2,110.0,2.9642857142857144,37.5,19.75,11.5,4,45.5,7.25,7.5,0.09853472850814604,1,High
U0272,2025-01-24,5,84,65.0,unknown,464.0,4,1,1,0,1,4,149.0,1.2727272727272727,31.75,19.454545454545453,8.5,11,52.25,45.54545454545455,3.5,0.09848971072503132,1,High
U0166,2025-03-30,9,64,56.0,vpn,351.0,6,1,1,1,0,0,120.0,1.1228070175438596,44.2,25.22222222222222,9.3,10,19.799999999999997,30.77777777777778,0.3000000000000007,0.09842094182995997,1,High
U0021,2025-03-26,19,82,64.0,vpn,380.0,3,1,1,0,1,2,146.0,1.2615384615384615,38.0,32.666666666666664,13.666666666666666,3,44.0,31.333333333333336,5.333333333333334,0.09813140119266184,1,High
U0075,2025-03-15,6,75,30.0,vpn,546.0,6,1,1,1,1,3,105.0,2.4193548387096775,41.5,20.25,8.0,4,33.5,9.75,2.0,0.09686593011332711,1,High
U0010,2025-03-24,20,62,48.0,vpn,607.0,3,1,1,0,1,3,110.0,1.2653061224489797,58.75,41.5,18.0,4,3.25,6.5,2.0,0.09677717679047393,1,High
U0086,2025-03-28,20,89,62.0,vpn,451.0,1,1,1,0,1,3,151.0,1.4126984126984128,30.235294117647058,19.176470588235293,10.705882352941176,16,58.76470588235294,42.82352941176471,9.294117647058824,0.09591003314006874,1,High
U0327,2025-02-03,20,90,45.0,unknown,591.0,2,1,1,0,1,3,135.0,1.9565217391304348,33.666666666666664,18.083333333333332,11.416666666666666,11,56.333333333333336,26.916666666666668,8.583333333333334,0.09473309521608708,1,High
U0228,2025-03-23,5,58,53.0,desktop,448.0,5,1,1,1,1,4,111.0,1.0740740740740742,32.76923076923077,23.153846153846153,11.307692307692308,13,25.230769230769234,29.846153846153847,6.307692307692308,0.09446279910361721,1,High
U0333,2025-03-04,19,84,56.0,unknown,594.0,4,1,1,0,1,2,140.0,1.4736842105263157,32.8,23.6,10.4,10,51.2,32.4,8.6,0.09405314084609362,1,High
U0265,2025-03-20,19,81,63.0,vpn,512.0,3,1,1,0,1,2,144.0,1.265625,49.5,29.666666666666668,11.5,6,31.5,33.33333333333333,7.5,0.09287358712989269,1,High
U0130,2025-01-26,16,82,47.0,desktop,422.0,5,1,1,1,0,1,129.0,1.7083333333333333,39.9,23.7,10.7,8,42.1,23.3,5.300000000000001,0.09279719030483058,1,High
U0138,2025-01-12,19,77,60.0,vpn,372.0,3,1,1,1,1,2,137.0,1.2622950819672132,31.692307692307693,20.46153846153846,11.23076923076923,13,45.30769230769231,39.53846153846154,7.76923076923077,0.0917229396159116,1,High
U0118,2025-03-23,7,88,51.0,desktop,572.0,3,1,1,1,1,2,139.0,1.6923076923076923,42.4,28.8,8.4,5,45.6,22.2,1.4000000000000004,0.09158642937253736,1,High
U0170,2025-01-10,7,52,59.0,unknown,359.0,3,1,1,0,1,2,111.0,0.8666666666666667,35.5,38.5,8.0,2,16.5,20.5,1.0,0.09140124024469476,1,High
U0286,2025-01-07,19,80,57.0,vpn,316.0,5,1,1,0,1,2,137.0,1.3793103448275863,35.5,24.75,11.25,4,44.5,32.25,7.75,0.0910411804127661,1,High
U0325,2025-03-31,16,49,49.0,unknown,607.0,2,1,1,0,0,1,98.0,0.98,56.0,38.75,10.75,4,-7.0,10.25,5.25,0.09035444490369349,1,High
U0078,2025-01-05,5,85,53.0,vpn,265.0,2,1,1,1,1,4,138.0,1.5740740740740742,38.6,27.6,10.2,5,46.4,25.4,5.199999999999999,0.09013943848997308,1,High
U0125,2025-03-21,19,64,61.0,usb,512.0,4,1,1,0,1,2,125.0,1.032258064516129,48.5,39.5,15.5,2,15.5,21.5,3.5,0.0900562327624429,1,High
U0263,2025-03-16,21,67,56.0,vpn,285.0,2,1,1,1,1,4,123.0,1.1754385964912282,33.0,20.1,11.3,10,34.0,35.9,9.7,0.08978243659851248,1,High
U0182,2025-02-21,21,84,43.0,unknown,280.0,3,1,1,0,1,4,127.0,1.9090909090909092,28.1,18.0,11.5,8,55.9,25.0,9.5,0.08969604566176648,1,High
U0016,2025-01-18,20,87,47.0,desktop,482.0,4,1,1,1,1,3,134.0,1.8125,30.0,21.4,10.545454545454545,11,57.0,25.6,9.454545454545455,0.08944431099936945,1,High
U0115,2025-03-17,20,52,,usb,608.0,6,1,1,0,1,3,52.0,52.0,27.166666666666668,15.2,10.5,6,24.833333333333332,-15.2,9.5,0.08829661658966104,1,High
U0162,2025-03-27,16,87,41.0,vpn,403.0,6,1,1,0,0,1,128.0,2.0714285714285716,37.77777777777778,20.555555555555557,11.444444444444445,9,49.22222222222222,20.444444444444443,4.555555555555555,0.08665488973635482,1,High
